station;source;SWIN;PAR;NIR;RPR;RNR;SWOT;LWIN;LWOT;ATMP;RHUM;RAIR;RAIN;WIND;WINS;HEFL;HELF2
ALB_RF;vu_db;MT1_SWIN_1_H_180;MT1_PAR_1_H_180;MT1_NIR_1_H_180;MT1_RPR_1_H_180;MT1_RNR_1_H_180;MT1_SWOT_1_H_180;MT1_LWIN_1_H_180;MT1_LWOT_1_H_180;MT1_ATMP_1_H_200_Avg;MT1_RHUM_1_H_200_Avg;MT1_PAIR_1_H_200_Avg;MT1_RAIN_1_H_040_Tot;MT1_WIND_1_H_200_Avg;MT1_WINS_1_H_200_Avg;MT1_HEFL_1_D_005_Avg;MT1_HEFL_2_D_005_Avg
ZEG_RF;vu_db;MT1_SWIN_1_H_180;MT1_PAR_1_H_180;MT1_NIR_1_H_180;MT1_RPR_1_H_180;MT1_RNR_1_H_180;MT1_SWOT_1_H_180;MT1_LWIN_1_H_180;MT1_LWOT_1_H_180;MT1_ATMP_1_H_200_Avg;MT1_RHUM_1_H_200_Avg;MT1_PAIR_1_H_200_Avg;MT1_RAIN_1_H_040_Tot;MT1_WIND_1_H_200_Avg;MT1_WINS_1_H_200_Avg;MT1_HEFL_1_D_005_Avg;MT1_HEFL_2_D_005_Avg
LAW_MS;vu_db;MT1_SWIN_1_H_180;MT1_PAR_1_H_180;MT1_NIR_1_H_180;MT1_RPR_1_H_180;MT1_RNR_1_H_180;MT1_SWOT_1_H_180;MT1_LWIN_1_H_180;MT1_LWOT_1_H_180;MT1_ATMP_1_H_200_Avg;MT1_RHUM_1_H_200_Avg;MT1_PAIR_1_H_200_Avg;MT1_RAIN_1_H_040_Tot;MT1_WIND_1_H_200_Avg;MT1_WINS_1_H_200_Avg;MT1_HEFL_1_D_005_Avg;MT1_HEFL_2_D_005_Avg
DEM_NT;vu_db;MT1_SWIN_1_H_180;MT1_PAR_1_H_180;MT1_NIR_1_H_180;MT1_RPR_1_H_180;MT1_RNR_1_H_180;MT1_SWOT_1_H_180;MT1_LWIN_1_H_180;MT1_LWOT_1_H_180;MT1_ATMP_1_H_200_Avg;MT1_RHUM_1_H_200_Avg;MT1_PAIR_1_H_200_Avg;MT1_RAIN_1_H_040_Tot;MT1_WIND_1_H_200_Avg;MT1_WINS_1_H_200_Avg;MT1_HEFL_1_D_005_Avg;MT1_HEFL_2_D_005_Avg
ZEG_PT;vu_db;;;MT1_NIR_1_H_180;MT1_RPR_1_H_180;MT1_RNR_1_H_180;MT1_SWOT_1_H_180;MT1_LWIN_1_H_180;MT1_LWOT_1_H_180;MT1_ATMP_1_H_200_Avg;MT1_RHUM_1_H_200_Avg;MT1_PAIR_1_H_200_Avg;MT1_RAIN_1_H_040_Tot;MT1_WIND_1_H_200_Avg;MT1_WINS_1_H_200_Avg;MT1_HEFL_1_D_005_Avg;MT1_HEFL_2_D_005_Avg
WRW_SR;vu_db;MT1_SWIN_1_H_180;MT1_PAR_1_H_180;MT1_NIR_1_H_180;MT1_RPR_1_H_180;MT1_RNR_1_H_180;MT1_SWOT_1_H_180;MT1_LWIN_1_H_180;MT1_LWOT_1_H_180;MT1_ATMP_1_H_200_Avg;MT1_RHUM_1_H_200_Avg;MT1_PAIR_1_H_200_Avg;MT1_RAIN_1_H_040_Tot;MT1_WIND_1_H_200_Avg;MT1_WINS_1_H_200_Avg;MT1_HEFL_1_D_005_Avg;MT1_HEFL_2_D_005_Avg
BUO_31_MT;wur_db;SWIN_6_10_1_1_2;PAR_7_21_1_1_1;QNIRDN_1_1_1;PPFDR_1_1_1;QNIRUP_1_1_1;SWOUT_1_1_1;LWIN_1_1_1;LWOUT_1_1_1;TA_1_1_1;RH_1_1_1;PA_1_1_1;P_1_1_1;WD_1_1_1;WS_1_1_1;SHF_1_1_1;SHF_2_1_1
BPB_31_MT;wur_db;SWIN_6_10_1_1_2;PAR_7_21_1_1_1;QNIRDN_1_1_1;PPFDR_1_1_1;QNIRUP_1_1_1;SWOUT_1_1_1;LWIN_1_1_1;LWOUT_1_1_1;TA_1_1_1;RH_1_1_1;PA_1_1_1;P_1_1_1;WD_1_1_1;WS_1_1_1;SHF_1_1_1;SHF_2_1_1
BUW_32_MT;wur_db;SWIN_6_10_1_1_2;PAR_7_21_1_1_1;QNIRDN_1_1_1;PPFDR_1_1_1;QNIRUP_1_1_1;SWOUT_1_1_1;LWIN_1_1_1;LWOUT_1_1_1;TA_1_1_1;RH_1_1_1;PA_1_1_1;P_1_1_1;WD_1_1_1;WS_1_1_1;SHF_1_1_1;SHF_2_1_1
BPC_32_MT;wur_db;SWIN_6_10_1_1_2;PAR_7_21_1_1_1;QNIRDN_1_1_1;PPFDR_1_1_1;QNIRUP_1_1_1;SWOUT_1_1_1;LWIN_1_1_1;LWOUT_1_1_1;TA_1_1_1;RH_1_1_1;PA_1_1_1;P_1_1_1;WD_1_1_1;WS_1_1_1;SHF_1_1_1;SHF_2_1_1
BRO_43_MT;wur_db;SWIN_6_10_1_1_2;PAR_7_21_1_1_1;QNIRDN_1_1_1;PPFDR_1_1_1;QNIRUP_1_1_1;SWOUT_1_1_1;LWIN_1_1_1;LWOUT_1_1_1;TA_1_1_1;RH_1_1_1;PA_1_1_1;P_1_1_1;WD_1_1_1;WS_1_1_1;SHF_1_1_1;SHF_2_1_1
HOH_33_MT;wur_db;SWIN_6_10_1_1_2;PAR_7_21_1_1_1;QNIRDN_1_1_1;PPFDR_1_1_1;QNIRUP_1_1_1;SWOUT_1_1_1;LWIN_1_1_1;LWOUT_1_1_1;TA_1_1_1;RH_1_1_1;PA_1_1_1;P_1_1_1;WD_1_1_1;WS_1_1_1;SHF_1_1_1;SHF_2_1_1
