station;source;PAR;NIR;RPR;RNR;LWOT;LWIN;SWOT;SWIN_1;SWIN_2;ATMP;RHUM;PAIR;RAIN;WIND;WINS;HEFL_1;HELF_2;SWC1;SWC3;SWC6;SWC12;TS01;TS03;TS06;TS12
ALB_RF;vu_db;MT1_PAR_1_H_180;MT1_NIR_1_H_180;MT1_RPR_1_H_180;MT1_RNR_1_H_180;MT1_LWOT_1_H_180;MT1_LWIN_1_H_180;MT1_SWOT_1_H_180;MT1_SWIN_1_H_180;;MT1_ATMP_1_H_200_Avg;MT1_RHUM_1_H_200_Avg;MT1_PAIR_1_H_200_Avg;MT1_RAIN_1_H_040_Tot;MT1_WIND_1_H_200_Avg;MT1_WINS_1_H_200_Avg;MT1_HEFL_1_D_005_Avg;MT1_HEFL_2_D_005_Avg;SPG_SWCT_1_D_005_Avg;SPG_SWCT_1_D_025_Avg;SPG_SWCT_1_D_065_Avg;SPG_SWCT_1_D_115_Avg;SPG_STMP_1_D_005_Avg;SPG_STMP_1_D_025_Avg;SPG_STMP_1_D_065_Avg;SPG_STMP_1_D_115_Avg
ZEG_RF;vu_db;MT1_PAR_1_H_180;MT1_NIR_1_H_180;MT1_RPR_1_H_180;MT1_RNR_1_H_180;MT1_LWOT_1_H_180;MT1_LWIN_1_H_180;MT1_SWOT_1_H_180;MT1_SWIN_1_H_180;;MT1_ATMP_1_H_200_Avg;MT1_RHUM_1_H_200_Avg;MT1_PAIR_1_H_200_Avg;MT1_RAIN_1_H_040_Tot;MT1_WIND_1_H_200_Avg;MT1_WINS_1_H_200_Avg;MT1_HEFL_1_D_005_Avg;MT1_HEFL_2_D_005_Avg;SPG_SWCT_1_D_005_Avg;SPG_SWCT_1_D_025_Avg;SPG_SWCT_1_D_065_Avg;SPG_SWCT_1_D_115_Avg;SPG_STMP_1_D_005_Avg;SPG_STMP_1_D_025_Avg;SPG_STMP_1_D_065_Avg;SPG_STMP_1_D_115_Avg
LAW_MS;vu_db;MT1_PAR_1_H_180;MT1_NIR_1_H_180;MT1_RPR_1_H_180;MT1_RNR_1_H_180;MT1_LWOT_1_H_180;MT1_LWIN_1_H_180;MT1_SWOT_1_H_180;MT1_SWIN_1_H_180;;MT1_ATMP_1_H_200_Avg;MT1_RHUM_1_H_200_Avg;MT1_PAIR_1_H_200_Avg;MT1_RAIN_1_H_040_Tot;MT1_WIND_1_H_200_Avg;MT1_WINS_1_H_200_Avg;MT1_HEFL_1_D_005_Avg;MT1_HEFL_2_D_005_Avg;SPG_SWCT_1_D_005_Avg;SPG_SWCT_1_D_025_Avg;SPG_SWCT_1_D_065_Avg;SPG_SWCT_1_D_115_Avg;SPG_STMP_1_D_005_Avg;SPG_STMP_1_D_025_Avg;SPG_STMP_1_D_065_Avg;SPG_STMP_1_D_115_Avg
DEM_NT;vu_db;MT1_PAR_1_H_180;MT1_NIR_1_H_180;MT1_RPR_1_H_180;MT1_RNR_1_H_180;MT1_LWOT_1_H_180;MT1_LWIN_1_H_180;MT1_SWOT_1_H_180;MT1_SWIN_1_H_180;;MT1_ATMP_1_H_200_Avg;MT1_RHUM_1_H_200_Avg;MT1_PAIR_1_H_200_Avg;MT1_RAIN_1_H_040_Tot;MT1_WIND_1_H_200_Avg;MT1_WINS_1_H_200_Avg;MT1_HEFL_1_D_005_Avg;MT1_HEFL_2_D_005_Avg;SPG_SWCT_1_D_005_Avg;SPG_SWCT_1_D_025_Avg;SPG_SWCT_1_D_065_Avg;SPG_SWCT_1_D_115_Avg;SPG_STMP_1_D_005_Avg;SPG_STMP_1_D_025_Avg;SPG_STMP_1_D_065_Avg;SPG_STMP_1_D_115_Avg
ZEG_PT;vu_db;MT1_PAR_1_H_180;MT1_NIR_1_H_180;MT1_RPR_1_H_180;MT1_RNR_1_H_180;MT1_LWOT_1_H_250;MT1_LWIN_1_H_250;MT1_SWOT_1_H_250;MT1_SWIN_1_H_250;;MT1_ATMP_1_H_200_Avg;MT1_RHUM_1_H_200_Avg;MT1_PAIR_1_H_200_Avg;MT1_RAIN_1_H_040_Tot;MT1_WIND_1_H_200_Avg;MT1_WINS_1_H_200_Avg;MT1_HEFL_1_D_005_Avg;MT1_HEFL_2_D_005_Avg;SPG_SWCT_1_D_005_Avg;SPG_SWCT_1_D_025_Avg;SPG_SWCT_1_D_050_Avg;SPG_SWCT_1_D_115_Avg;SPG_STMP_1_D_005_Avg;SPG_STMP_1_D_025_Avg;SPG_STMP_1_D_050_Avg;SPG_STMP_1_D_115_Avg
WRW_SR;vu_db;MT1_PAR_1_H_180;MT1_NIR_1_H_180;MT1_RPR_1_H_180;MT1_RNR_1_H_180;MT1_LWOT_1_H_180;MT1_LWIN_1_H_180;MT1_SWOT_1_H_180;MT1_SWIN_1_H_180;;MT1_ATMP_1_H_200_Avg;MT1_RHUM_1_H_200_Avg;MT1_PAIR_1_H_200_Avg;MT1_RAIN_1_H_040_Tot;MT1_WIND_1_H_200_Avg;MT1_WINS_1_H_200_Avg;MT1_HEFL_1_D_005_Avg;MT1_HEFL_2_D_005_Avg;SPG_SWCT_1_D_005_Avg;SPG_SWCT_1_D_025_Avg;SPG_SWCT_1_D_065_Avg;SPG_SWCT_1_D_115_Avg;SPG_STMP_1_D_005_Avg;SPG_STMP_1_D_025_Avg;SPG_STMP_1_D_065_Avg;SPG_STMP_1_D_115_Avg
ANK_PT01;vu_db;MT1_PAR_1_H_180;MT1_NIR_1_H_180;MT1_RPR_1_H_180;MT1_RNR_1_H_180;MT1_LWOT_1_H_180;MT1_LWIN_1_H_180;MT1_SWOT_1_H_180;MT1_SWIN_1_H_180;;MT1_ATMP_1_H_200_Avg;MT1_RHUM_1_H_200_Avg;MT1_PAIR_1_H_200_Avg;MT1_RAIN_1_H_040_Tot;MT1_WIND_1_H_200_Avg;MT1_WINS_1_H_200_Avg;MT1_HEFL_1_D_005_Avg;MT1_HEFL_2_D_005_Avg;SPG_SWCT_1_D_005_Avg;SPG_SWCT_1_D_025_Avg;SPG_SWCT_1_D_065_Avg;SPG_SWCT_1_D_115_Avg;SPG_STMP_1_D_005_Avg;SPG_STMP_1_D_025_Avg;SPG_STMP_1_D_065_Avg;SPG_STMP_1_D_115_Avg
ASD_RF;vu_db;MT1_PAR_1_H_180;MT1_NIR_1_H_180;MT1_RPR_1_H_180;MT1_RNR_1_H_180;MT1_LWOT_1_H_180;MT1_LWIN_1_H_180;MT1_SWOT_1_H_180;MT1_SWIN_1_H_180;;MT1_ATMP_1_H_200_Avg;MT1_RHUM_1_H_200_Avg;MT1_PAIR_1_H_200_Avg;MT1_RAIN_1_H_040_Tot;MT1_WIND_1_H_200_Avg;MT1_WINS_1_H_200_Avg;MT1_HEFL_1_D_005_Avg;MT1_HEFL_2_D_005_Avg;SPG_SWCT_1_D_005_Avg;SPG_SWCT_1_D_025_Avg;SPG_SWCT_1_D_065_Avg;SPG_SWCT_1_D_115_Avg;SPG_STMP_1_D_005_Avg;SPG_STMP_1_D_025_Avg;SPG_STMP_1_D_065_Avg;SPG_STMP_1_D_115_Avg
ILP_PT02;vu_db;MT1_PAR_1_H_180;MT1_NIR_1_H_180;MT1_RPR_1_H_180;MT1_RNR_1_H_180;MT1_LWOT_1_H_180;MT1_LWIN_1_H_180;MT1_SWOT_1_H_180;MT1_SWIN_1_H_180;;MT1_ATMP_1_H_200_Avg;MT1_RHUM_1_H_200_Avg;MT1_PAIR_1_H_200_Avg;MT1_RAIN_1_H_040_Tot;MT1_WIND_1_H_200_Avg;MT1_WINS_1_H_200_Avg;MT1_HEFL_1_D_005_Avg;MT1_HEFL_2_D_005_Avg;SPG_SWCT_1_D_005_Avg;SPG_SWCT_1_D_025_Avg;SPG_SWCT_1_D_065_Avg;SPG_SWCT_1_D_115_Avg;SPG_STMP_1_D_005_Avg;SPG_STMP_1_D_025_Avg;SPG_STMP_1_D_065_Avg;SPG_STMP_1_D_115_Avg
MOB_Y1;vu_db;MT1_PAR_1_H_210;MT1_NIR_1_H_210;MT1_RPR_1_H_210;MT1_RNR_1_H_210;MT1_LWOT_1_H_210;MT1_LWIN_1_H_210;MT1_SWOT_1_H_210;MT1_SWIN_1_H_210;;MT1_ATMP_1_H_200_Avg;MT1_RHUM_1_H_200_Avg;MT1_PAIR_1_H_210_Avg;MT1_RAIN_1_H_040_Tot;MT1_WIND_1_H_210_Avg;MT1_WINS_1_H_210_Avg;MT1_HEFL_1_D_005_Avg;MT1_HEFL_2_D_005_Avg;SPG_SWCT_1_D_005_Avg;SPG_SWCT_1_D_025_Avg;SPG_SWCT_1_D_065_Avg;SPG_SWCT_1_D_115_Avg;SPG_STMP_1_D_005_Avg;SPG_STMP_1_D_025_Avg;SPG_STMP_1_D_065_Avg;SPG_STMP_1_D_115_Avg
