name;source
ALB_MS;vu_db
ALB_RF;vu_db
ZEG_RF;vu_db
MOB_X1;vu_db
MOB_X2;vu_db
LAW_MS;vu_db
DEM_NT;vu_db
ASD_MP;vu_db
ANK_PT;vu_db
ZEG_MP;vu_db
ZEG_PT;vu_db
ILP_PT;vu_db
WRW_SR;vu_db
WRW_OW;vu_db
ZEG_MOB;vu_db
BUO_31_MT;wur_db
BPB_31_MT;wur_db
BUW_32_MT;wur_db
BPC_32_MT;wur_db
BRO_43_MT;wur_db
HOH_33_MT;wur_db
HOC_34_MT;wur_db
HWR_34_MT;wur_db
LDH_35_MT;wur_db
BLR_35_MT;wur_db
LDC_36_MT;wur_db
BLO_36_MT;wur_db
AMM_37_MT;wur_db
HWG_37_MT;wur_db
GOI_38_MT;wur_db
POH_39_MT;wur_db
POG_40_MT;wur_db
HOD_41_MT;wur_db
HEH_42_MT;wur_db
HEW_43_MT;wur_db
GOB_44_MT;wur_db
HWN_45_MT;wur_db
HWH_46_MT;wur_db
MOB_01_MT;wur_db
MOB_02_MT;wur_db
MOB_42_MT;wur_db
MOB_21_EC;wur_db
CAM_21_MT;wur_db
ONL_22_MT;wur_db
WIE_41_MT;wur_db
PPA_42_MT;wur_db
LAW_06_MT;wur_db
