      varname_db, variable_name, MOB_Y1, MOB_Y2, default
      MT1_ATMP_1_H_210_Avg,TA_1_1_1,1,1,
      MT1_LWIN_1_H_210,LWIN_1_1_1,1,1,
      MT1_LWOT_1_H_210,LWOUT_1_1_1,1,1,
      MT1_PAIR_1_H_210_Avg,PA_1_1_1,1,1,
      MT1_NIR_1_H_210,QNIRDN_1_1_1,1,1,
      MT1_RNR_1_H_210,QNIRUP_1_1_1,1,1,
      MT1_RPR_1_H_210,PPFDR_1_1_1,1,1,
      MT1_PAR_1_H_210,PPFD_1_1_1,1,1,
      MT1_RHUM_1_H_210_Avg,RH_1_1_1,1,1,
      MT1_SWIN_1_H_210,SWIN_1_1_1,1,1,
      MT1_SWOT_1_H_210,SWOUT_1_1_1,1,1,
      MT1_WINS_1_H_210_Avg,WS_1_1_1,1,1,
      MT1_WIND_1_H_210_Avg,WD_1_1_1,1,1,
      MT1_HEFL_1_D_005_Avg,SHF_1_1_1,1,1,
      MT1_RAIN_1_H_040_Tot,P_1_1_1,1,1,
      MT1_HEFL_2_D_005_Avg,SHF_2_1_1,1,1,
      MT1_SWIN_1_H_180,SWIN_1_1_1,,,1
      MT1_PAR_1_H_180,PPFD_1_1_1,,,1
      MT1_NIR_1_H_180,QNIRDN_1_1_1,,,1
      MT1_RPR_1_H_180,PPFDR_1_1_1,,,1
      MT1_RNR_1_H_180,QNIRUP_1_1_1,,,1
      MT1_SWOT_1_H_180,SWOUT_1_1_1,,,1
      MT1_LWIN_1_H_180,LWIN_1_1_1,,,1
      MT1_LWOT_1_H_180,LWOUT_1_1_1,,,1
      MT1_ATMP_1_H_200_Avg,TA_1_1_1,,,1
      MT1_RHUM_1_H_200_Avg,RH_1_1_1,,,1
      MT1_PAIR_1_H_200_Avg,PA_1_1_1,,,1
      MT1_RAIN_1_H_040_Tot,P_1_1_1,,,1
      MT1_WIND_1_H_200_Avg,WD_1_1_1,,,1
      MT1_WINS_1_H_200_Avg,WS_1_1_1,,,1
      MT1_HEFL_1_D_005_Avg,SHF_1_1_1,,,1
      MT1_HEFL_2_D_005_Avg,SHF_2_1_1,,,1
